id,no,code,title
lab143,143,PWCD013; PWCD014,Bean 如何确保线程安全 首选无状态设计（Stateless by Design）：在设计Service、Controller等组件时，极力避免使用成员变量来存储请求相关的数据。让它们成为纯粹的执行者，依赖注入其他无状态的Bean，处理从方法参数传入的数据。 使用线程安全的数据结构：如果确实需要共享状态，不要自己发明轮子。使用java.util.concurrent包提供的线程安全类，如AtomicInteger、ConcurrentHashMap等。 合理使用同步（Synchronization）：使用synchronized关键字或ReentrantLock来保护对共享状态的访问。但要特别小心，这会引入性能开销和死锁的风险。应该缩小同步代码块的范围，只保护必要的几行代码，而不是整个方法。 利用ThreadLocal： 如果状态是与当前线程绑定的（比如每个用户的请求上下文），ThreadLocal是一个非常好的选择。它为每个线程都提供了一个独立的变量副本，从而避免了线程间的竞争。Spring框架内部在管理事务上下文（TransactionSynchronizationManager）和请求上下文（RequestContextHolder）时，就大量使用了ThreadLocal。 选择正确的作用域：如果一个Bean天生就是有状态的，并且无法或不适合改造成线程安全的，那么也许它就不应该是一个singleton。可以考虑将其作用域改为prototype，这样每个使用者都会得到一个全新的、不被共享的实例。当然，这会带来额外的对象创建开销。
lab144,144,KCZN023; KCZN024; PWCD016,reproduce circular dependency then resovle.
lab145,145,PWCD020,practice in one cheatsheet
lab146,146,ZTFU023,AOP in practice
lab147,147,KCZN019,boot starting process
lab148,148,KCZN020,生命周期主流程和关键扩展点。
lab149,149,KCZN022,@Resource 适用的具体场景
lab150,150,KCZN022,@Resource 和 @Autowired 一定不能相互替代的场景
lab151,151,KCZN022,testability @Autowired 字段 vs 构造器注入（Constructor Injection）
lab152,152,KCZN024,practice.
lab153,153,STMT010; STMT011; STMT012,practice
lab154,154,JITU008,解决办法是不是只有让客户端延长超时时间（修改超时时间配置）？ >已知发生超时broken pipe问题的是一个 POST接口，对应一个业务逻辑核心事务处理流程，返回值是处理完成后的关键业务信息Info 。客户端依赖此同步调用的结果，来进行下一步的页面展示。 >请问有哪些务实的解决办法？我能想到的解决办法只有让客户端延长超时时间（修改超时时间配置）？ 综合推荐方案 短期方案（1-2周实施） 1. 服务端性能优化 ：数据库索引、连接池调优、JVM参数优化 2. 客户端智能超时 ：动态调整超时时间，提供重试机制 中期方案（1-2个月实施） 1. 异步处理+轮询 ：保持接口语义不变，提升用户体验 2. 事务拆分 ：将长事务分解为多个短事务 长期方案（3-6个月实施） 1. SAGA模式 ：实现分布式事务管理 2. 渐进式响应 ：WebSocket实时推送，分阶段返回结果 实施建议 优先级排序： 1. 数据库和JVM优化 (立即实施) 2. 异步处理+轮询模式 (2周内) 3. 事务拆分优化 (1个月内) 4. 客户端超时优化 (作为兜底) 5. 渐进式响应 (长期规划)
lab155,155,JITU008,复现各种方案，做成mvp，并配套集成测试。
lab156,156,PWCD007; WDKJ023,翻代码单步调试代码
lab157,157,SANO019,"try split domain/business in FPS, Test-OJ"
lab158,158,SANO020,test pyramid & test doubles in practice
lab159,159,SANO021,如何合理地定量地度量 e2e test和 unit-test的健康覆盖率？
lab160,160,SANO023,以一个CRUD需求，动手实践TDD，创建对照组，对比不用TDD的代码质量。
